IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
150377672,NON-CRIMINAL,AIDED CASE,Thursday,04/30/2015,23:56,BAYVIEW,NONE,800 Block of RHODEISLAND ST,-122.402085966027,37.7590227079465,"(37.7590227079465, -122.402085966027)",15037767251040
150377575,PROSTITUTION,LOITERING FOR PURPOSE OF PROSTITUTION,Thursday,04/30/2015,23:55,NORTHERN,"ARREST, BOOKED",1500 Block of VANNESS AV,-122.422062730264,37.7899200014841,"(37.7899200014841, -122.422062730264)",15037757513075
150377575,PROSTITUTION,SOLICITS FOR ACT OF PROSTITUTION,Thursday,04/30/2015,23:55,NORTHERN,"ARREST, BOOKED",1500 Block of VANNESS AV,-122.422062730264,37.7899200014841,"(37.7899200014841, -122.422062730264)",15037757513060
150377707,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Thursday,04/30/2015,23:55,PARK,NONE,100 Block of COLE ST,-122.450998391512,37.7737819829721,"(37.7737819829721, -122.450998391512)",15037770706242
150377713,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Thursday,04/30/2015,23:47,CENTRAL,NONE,BUSH ST / LEAVENWORTH ST,-122.415373701241,37.7893203404507,"(37.7893203404507, -122.415373701241)",15037771364020
150377581,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,04/30/2015,23:30,BAYVIEW,NONE,100 Block of MERRILL ST,-122.409364184688,37.7322086076151,"(37.7322086076151, -122.409364184688)",15037758107021
156108021,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,04/30/2015,23:30,CENTRAL,NONE,800 Block of SUTTER ST,-122.414390137578,37.7885452792081,"(37.7885452792081, -122.414390137578)",15610802106244
156103770,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,04/30/2015,23:30,NORTHERN,NONE,MCALLISTER ST / WEBSTER ST,-122.430047639392,37.7788487867396,"(37.7788487867396, -122.430047639392)",15610377006244
150377553,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Thursday,04/30/2015,23:24,TARAVAL,"ARREST, BOOKED",19TH AV / DENSLOWE DR,-122.475003009213,37.724912078558,"(37.724912078558, -122.475003009213)",15037755365016
150377525,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Thursday,04/30/2015,23:14,CENTRAL,NONE,100 Block of JEFFERSON ST,-122.414988252591,37.8082613305439,"(37.8082613305439, -122.414988252591)",15037752564085
150377525,ASSAULT,BATTERY,Thursday,04/30/2015,23:14,CENTRAL,NONE,100 Block of JEFFERSON ST,-122.414988252591,37.8082613305439,"(37.8082613305439, -122.414988252591)",15037752504134
150377478,NON-CRIMINAL,FOUND PROPERTY,Thursday,04/30/2015,23:08,SOUTHERN,NONE,3RD ST / SOUTHPARK AV,-122.395067626916,37.7807018119387,"(37.7807018119387, -122.395067626916)",15037747872000
150377854,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,04/30/2015,23:00,PARK,NONE,1500 Block of GROVE ST,-122.442127594573,37.7753438678484,"(37.7753438678484, -122.442127594573)",15037785406244
150378040,VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS",Thursday,04/30/2015,23:00,TARAVAL,NONE,1200 Block of 9TH AV,-122.46630620635,37.7649657627052,"(37.7649657627052, -122.46630620635)",15037804028100
150377440,PROSTITUTION,SOLICITS FOR ACT OF PROSTITUTION,Thursday,04/30/2015,23:00,NORTHERN,"ARREST, BOOKED",1500 Block of VANNESS AV,-122.422062730264,37.7899200014841,"(37.7899200014841, -122.422062730264)",15037744013060
150379355,ASSAULT,ELDER ADULT OR DEPENDENT ABUSE (NOT EMBEZZLEMENT OR THEFT),Thursday,04/30/2015,23:00,CENTRAL,"ARREST, BOOKED",800 Block of PACIFIC AV,-122.409652663162,37.7964914531604,"(37.7964914531604, -122.409652663162)",15037935515041
150378971,NON-CRIMINAL,FOUND PROPERTY,Thursday,04/30/2015,23:00,TENDERLOIN,NONE,JONES ST / ELLIS ST,-122.412784096502,37.7848656939526,"(37.7848656939526, -122.412784096502)",15037897172000
150377440,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Thursday,04/30/2015,23:00,NORTHERN,"ARREST, BOOKED",1500 Block of VANNESS AV,-122.422062730264,37.7899200014841,"(37.7899200014841, -122.422062730264)",15037744016650
150379355,KIDNAPPING,FALSE IMPRISONMENT,Thursday,04/30/2015,23:00,CENTRAL,"ARREST, BOOKED",800 Block of PACIFIC AV,-122.409652663162,37.7964914531604,"(37.7964914531604, -122.409652663162)",15037935526142
